Wall time,Step,Value
1669204953.1004734,1,7.441860675811768
1669204960.8579865,2,16.279069900512695
1669204968.6041698,3,25.581396102905273
1669204976.3976278,4,41.395347595214844
1669204984.159981,5,53.953487396240234
1669204989.052321,6,64.65116119384766
1669204993.4163659,7,73.48837280273438
1669204997.7190542,8,77.6744155883789
1669205002.0159369,9,87.90697479248047
1669205006.298336,10,94.88372039794922
1669205010.5764081,11,93.9534912109375
1669205014.8494577,12,96.27906799316406
1669205019.12335,13,95.81395721435547
1669205023.3867748,14,99.06977081298828
1669205027.6433167,15,99.53488159179688
1669205031.923482,16,99.53488159179688
1669205036.1825256,17,100.0
1669205040.4505765,18,99.53488159179688
1669205044.7159917,19,100.0
1669205048.9771295,20,100.0
1669205053.2471807,21,100.0
1669205057.5252006,22,99.53488159179688
1669205061.809369,23,100.0
1669205066.07223,24,100.0
1669205070.332691,25,100.0
1669205074.5896716,26,100.0
1669205078.8484716,27,100.0
1669205083.1100008,28,100.0
1669205087.3660276,29,100.0
1669205091.6114762,30,100.0
1669205095.8730068,31,100.0
1669205100.135912,32,100.0
1669205104.405422,33,100.0
1669205108.6688023,34,100.0
1669205112.925511,35,100.0
1669205117.1767123,36,100.0
1669205121.4377854,37,100.0
1669205125.6974735,38,100.0
1669205129.9559314,39,100.0
1669205134.2108548,40,100.0
1669205138.4534888,41,100.0
1669205142.7053022,42,100.0
1669205147.06968,43,100.0
1669205151.3462317,44,100.0
1669205155.6117191,45,100.0
1669205159.9062445,46,100.0
1669205164.1806371,47,100.0
1669205168.461732,48,100.0
1669205172.7450845,49,100.0
1669205177.016079,50,99.53488159179688
1669205181.2863665,51,100.0
1669205185.55453,52,100.0
1669205189.8194287,53,99.53488159179688
1669205194.0833871,54,99.53488159179688
1669205198.3327398,55,99.06977081298828
1669205202.588873,56,100.0
1669205206.8406343,57,100.0
1669205211.092639,58,100.0
1669205215.347201,59,100.0
1669205219.6007068,60,100.0
1669205223.8676844,61,100.0
1669205228.139312,62,100.0
1669205232.4256105,63,100.0
1669205236.7118917,64,100.0
1669205240.970414,65,100.0
1669205245.227378,66,100.0
1669205249.4787,67,100.0
1669205253.730901,68,100.0
1669205257.9797168,69,100.0
1669205262.2479618,70,100.0
1669205266.4974074,71,100.0
1669205270.7464535,72,100.0
1669205274.9902437,73,100.0
1669205279.2380688,74,100.0
1669205283.4829767,75,100.0
1669205287.7440577,76,100.0
1669205291.9935799,77,100.0
1669205296.243312,78,100.0
1669205300.496717,79,100.0
1669205304.7538822,80,100.0
1669205309.0032768,81,98.13953399658203
1669205313.2463078,82,99.53488159179688
1669205317.4914184,83,99.53488159179688
1669205321.7414546,84,97.20930480957031
1669205325.9768147,85,94.4186019897461
1669205330.2159917,86,96.27906799316406
1669205334.452933,87,97.6744155883789
1669205338.6894298,88,98.60465240478516
